sensorID,value,time
Sensor_Edge_2_1,20.20,2023-01-01T08:00:00
Sensor_Edge_4_1,21.96,2023-01-01T08:00:00
Sensor_Edge_5_1,23.76,2023-01-01T08:00:00
Sensor_Edge_7_1,29.67,2023-01-01T08:00:00
Sensor_Edge_8_1,24.13,2023-01-01T08:00:00
Sensor_Edge_10_1,22.40,2023-01-01T08:00:00
Sensor_Edge_11_1,26.17,2023-01-01T08:00:00
Sensor_Edge_13_1,25.51,2023-01-01T08:00:00
Sensor_Edge_15_1,22.78,2023-01-01T08:00:00
Sensor_Edge_21_1,18.52,2023-01-01T08:00:00
Sensor_Edge_25_1,20.56,2023-01-01T08:00:00
Sensor_Edge_26_1,38.30,2023-01-01T08:00:00
Sensor_Edge_27_1,21.53,2023-01-01T08:00:00
Sensor_Edge_28_1,23.72,2023-01-01T08:00:00
Sensor_Edge_31_1,21.17,2023-01-01T08:00:00
Sensor_Edge_35_1,27.32,2023-01-01T08:00:00
Sensor_Edge_36_1,24.74,2023-01-01T08:00:00
Sensor_Edge_38_1,25.45,2023-01-01T08:00:00
Sensor_Edge_39_1,25.41,2023-01-01T08:00:00
Sensor_Edge_40_1,41.96,2023-01-01T08:00:00
Sensor_Edge_41_1,26.64,2023-01-01T08:00:00
Sensor_Edge_45_1,25.02,2023-01-01T08:00:00
Sensor_Edge_46_1,26.93,2023-01-01T08:00:00
Sensor_Edge_48_1,25.03,2023-01-01T08:00:00
Sensor_Edge_50_1,27.93,2023-01-01T08:00:00
Sensor_Edge_63_1,21.71,2023-01-01T08:00:00
Sensor_Edge_64_1,23.20,2023-01-01T08:00:00
Sensor_Edge_65_1,35.42,2023-01-01T08:00:00
Sensor_Edge_66_1,20.55,2023-01-01T08:00:00
Sensor_Edge_67_1,25.69,2023-01-01T08:00:00
Sensor_Edge_68_1,25.01,2023-01-01T08:00:00
Sensor_Edge_69_1,24.15,2023-01-01T08:00:00
Sensor_Edge_70_1,24.34,2023-01-01T08:00:00
Sensor_Edge_71_1,23.87,2023-01-01T08:00:00
Sensor_Edge_72_1,25.16,2023-01-01T08:00:00
Sensor_Edge_73_1,22.49,2023-01-01T08:00:00
Sensor_Edge_74_1,23.64,2023-01-01T08:00:00
Sensor_Edge_75_1,22.37,2023-01-01T08:00:00
Sensor_Edge_76_1,22.96,2023-01-01T08:00:00
Sensor_Edge_80_1,22.63,2023-01-01T08:00:00
Sensor_Edge_2_1,20.41,2023-01-01T08:05:00
Sensor_Edge_4_1,21.78,2023-01-01T08:05:00
Sensor_Edge_5_1,24.00,2023-01-01T08:05:00
Sensor_Edge_7_1,29.87,2023-01-01T08:05:00
Sensor_Edge_8_1,24.34,2023-01-01T08:05:00
