sensorID,roadwayID,x,y,z,ratio
Sensor_Edge_2_1,Edge_2,468.902,-141.037,-40.497,0.66370
Sensor_Edge_4_1,Edge_4,452.750,-235.385,-81.128,0.71710
Sensor_Edge_5_1,Edge_5,444.125,-285.772,-102.827,0.58610
Sensor_Edge_7_1,Edge_7,426.301,-389.891,-147.666,0.72150
Sensor_Edge_8_1,Edge_8,489.478,-139.371,-38.326,0.61740
Sensor_Edge_10_1,Edge_10,473.017,-235.525,-79.735,0.60110
Sensor_Edge_11_1,Edge_11,464.519,-285.167,-101.113,0.51300
Sensor_Edge_13_1,Edge_13,448.671,-377.745,-140.982,0.50850
Sensor_Edge_14_1,Edge_14,439.331,-432.301,-164.477,0.53940
Sensor_Edge_15_1,Edge_15,378.858,-51.243,-9.378,0.52800
Sensor_Edge_21_1,Edge_21,614.952,-91.660,-9.378,0.53640
Sensor_Edge_23_1,Edge_23,489.078,-82.286,-9.378,0.49940
Sensor_Edge_25_1,Edge_25,274.329,-92.341,-34.059,0.52640
Sensor_Edge_26_1,Edge_26,689.339,-157.178,-31.462,0.47100
Sensor_Edge_27_1,Edge_27,471.572,-179.182,-56.265,0.45340
Sensor_Edge_31_1,Edge_31,467.020,-212.991,-65.643,0.50650
Sensor_Edge_35_1,Edge_35,338.997,-290.968,-112.531,0.43140
Sensor_Edge_36_1,Edge_36,400.975,-301.578,-112.531,0.50170
Sensor_Edge_38_1,Edge_38,497.909,-318.172,-112.531,0.48100
Sensor_Edge_39_1,Edge_39,558.842,-328.603,-112.531,0.50750
Sensor_Edge_40_1,Edge_40,320.862,-310.277,-121.908,0.53300
Sensor_Edge_41_1,Edge_41,384.643,-321.195,-121.908,0.44110
Sensor_Edge_45_1,Edge_45,501.984,-341.283,-121.908,0.45800
Sensor_Edge_46_1,Edge_46,581.905,-354.965,-121.908,0.59350
Sensor_Edge_48_1,Edge_48,446.501,-343.959,-121.908,0.54910
Sensor_Edge_55_1,Edge_55,418.079,-437.917,-171.376,0.61710
Sensor_Edge_59_1,Edge_59,432.683,-431.629,-178.796,0.43980
Sensor_Edge_63_1,Edge_63,263.854,-153.525,-60.408,0.44180
Sensor_Edge_65_1,Edge_65,421.354,-170.585,-56.265,0.52350
Sensor_Edge_66_1,Edge_66,286.685,-147.531,-56.265,0.53730
Sensor_Edge_67_1,Edge_67,411.702,-191.347,-65.643,0.48210
Sensor_Edge_68_1,Edge_68,279.969,-168.795,-65.643,0.46150
Sensor_Edge_69_1,Edge_69,532.450,-189.604,-56.265,0.63540
Sensor_Edge_70_1,Edge_70,661.785,-211.745,-56.265,0.44880
Sensor_Edge_71_1,Edge_71,523.672,-210.515,-65.643,0.44690
Sensor_Edge_72_1,Edge_72,655.719,-233.120,-65.643,0.50810
Sensor_Edge_73_1,Edge_73,350.931,-158.530,-56.265,0.41660
Sensor_Edge_74_1,Edge_74,343.095,-179.602,-65.643,0.46870
Sensor_Edge_75_1,Edge_75,604.143,-201.877,-56.265,0.54460
Sensor_Edge_76_1,Edge_76,601.433,-223.827,-65.643,0.55750
Sensor_Edge_79_1,Edge_79,303.033,-161.725,-61.033,0.50840
