sensorID,value,time
Sensor_Edge_2_1,0.15,2023-01-01T08:00:00
Sensor_Edge_4_1,0.24,2023-01-01T08:00:00
Sensor_Edge_5_1,0.31,2023-01-01T08:00:00
Sensor_Edge_7_1,0.42,2023-01-01T08:00:00
Sensor_Edge_8_1,0.14,2023-01-01T08:00:00
Sensor_Edge_10_1,1.74,2023-01-01T08:00:00
Sensor_Edge_11_1,1.77,2023-01-01T08:00:00
Sensor_Edge_13_1,1.83,2023-01-01T08:00:00
Sensor_Edge_14_1,0.39,2023-01-01T08:00:00
Sensor_Edge_15_1,0.09,2023-01-01T08:00:00
Sensor_Edge_21_1,0.10,2023-01-01T08:00:00
Sensor_Edge_23_1,0.17,2023-01-01T08:00:00
Sensor_Edge_25_1,0.17,2023-01-01T08:00:00
Sensor_Edge_26_1,0.18,2023-01-01T08:00:00
Sensor_Edge_27_1,0.20,2023-01-01T08:00:00
Sensor_Edge_31_1,0.28,2023-01-01T08:00:00
Sensor_Edge_35_1,0.30,2023-01-01T08:00:00
Sensor_Edge_36_1,0.34,2023-01-01T08:00:00
Sensor_Edge_38_1,0.35,2023-01-01T08:00:00
Sensor_Edge_39_1,0.37,2023-01-01T08:00:00
Sensor_Edge_40_1,1.85,2023-01-01T08:00:00
Sensor_Edge_41_1,0.37,2023-01-01T08:00:00
Sensor_Edge_45_1,0.30,2023-01-01T08:00:00
Sensor_Edge_46_1,0.35,2023-01-01T08:00:00
Sensor_Edge_48_1,1.83,2023-01-01T08:00:00
Sensor_Edge_55_1,0.42,2023-01-01T08:00:00
Sensor_Edge_59_1,1.97,2023-01-01T08:00:00
Sensor_Edge_63_1,0.20,2023-01-01T08:00:00
Sensor_Edge_65_1,0.23,2023-01-01T08:00:00
Sensor_Edge_66_1,0.24,2023-01-01T08:00:00
Sensor_Edge_67_1,0.20,2023-01-01T08:00:00
Sensor_Edge_68_1,0.25,2023-01-01T08:00:00
Sensor_Edge_69_1,0.21,2023-01-01T08:00:00
Sensor_Edge_70_1,0.21,2023-01-01T08:00:00
Sensor_Edge_71_1,0.22,2023-01-01T08:00:00
Sensor_Edge_72_1,0.23,2023-01-01T08:00:00
Sensor_Edge_73_1,0.20,2023-01-01T08:00:00
Sensor_Edge_74_1,0.20,2023-01-01T08:00:00
Sensor_Edge_75_1,0.22,2023-01-01T08:00:00
Sensor_Edge_76_1,0.24,2023-01-01T08:00:00
Sensor_Edge_79_1,0.24,2023-01-01T08:00:00
Sensor_Edge_2_1,0.15,2023-01-01T08:05:00
Sensor_Edge_4_1,0.24,2023-01-01T08:05:00
Sensor_Edge_5_1,0.31,2023-01-01T08:05:00
Sensor_Edge_7_1,0.43,2023-01-01T08:05:00
Sensor_Edge_8_1,0.14,2023-01-01T08:05:00
Sensor_Edge_10_1,1.74,2023-01-01T08:05:00
Sensor_Edge_11_1,1.77,2023-01-01T08:05:00
Sensor_Edge_13_1,1.83,2023-01-01T08:05:00
Sensor_Edge_14_1,0.39,2023-01-01T08:05:00
Sensor_Edge_15_1,0.09,2023-01-01T08:05:00
Sensor_Edge_21_1,0.10,2023-01-01T08:05:00
Sensor_Edge_23_1,0.18,2023-01-01T08:05:00
Sensor_Edge_25_1,0.17,2023-01-01T08:05:00
Sensor_Edge_26_1,0.18,2023-01-01T08:05:00
Sensor_Edge_27_1,0.20,2023-01-01T08:05:00
Sensor_Edge_31_1,0.28,2023-01-01T08:05:00
Sensor_Edge_35_1,0.30,2023-01-01T08:05:00
Sensor_Edge_36_1,0.34,2023-01-01T08:05:00
Sensor_Edge_38_1,0.34,2023-01-01T08:05:00
Sensor_Edge_39_1,0.37,2023-01-01T08:05:00
Sensor_Edge_40_1,1.85,2023-01-01T08:05:00
Sensor_Edge_41_1,0.37,2023-01-01T08:05:00
Sensor_Edge_45_1,0.30,2023-01-01T08:05:00
Sensor_Edge_46_1,0.34,2023-01-01T08:05:00
Sensor_Edge_48_1,1.84,2023-01-01T08:05:00
Sensor_Edge_55_1,0.42,2023-01-01T08:05:00
Sensor_Edge_59_1,1.97,2023-01-01T08:05:00
Sensor_Edge_63_1,0.20,2023-01-01T08:05:00
Sensor_Edge_65_1,0.23,2023-01-01T08:05:00
Sensor_Edge_66_1,0.24,2023-01-01T08:05:00
Sensor_Edge_67_1,0.20,2023-01-01T08:05:00
Sensor_Edge_68_1,0.24,2023-01-01T08:05:00
Sensor_Edge_69_1,0.21,2023-01-01T08:05:00
