sensorID,value,time
Sensor_Edge_2_1,0.12,2023-01-01T08:00:00
Sensor_Edge_4_1,0.18,2023-01-01T08:00:00
Sensor_Edge_5_1,0.22,2023-01-01T08:00:00
Sensor_Edge_7_1,0.36,2023-01-01T08:00:00
Sensor_Edge_8_1,0.15,2023-01-01T08:00:00
Sensor_Edge_10_1,0.27,2023-01-01T08:00:00
Sensor_Edge_11_1,0.31,2023-01-01T08:00:00
Sensor_Edge_13_1,0.44,2023-01-01T08:00:00
Sensor_Edge_2_1,0.16,2023-01-01T09:00:00
Sensor_Edge_4_1,0.21,2023-01-01T09:00:00
Sensor_Edge_5_1,0.28,2023-01-01T09:00:00
Sensor_Edge_7_1,0.48,2023-01-01T09:00:00
Sensor_Edge_8_1,0.19,2023-01-01T09:00:00
Sensor_Edge_10_1,0.33,2023-01-01T09:00:00
Sensor_Edge_11_1,0.40,2023-01-01T09:00:00
Sensor_Edge_13_1,0.61,2023-01-01T09:00:00
Sensor_Edge_2_1,0.22,2023-01-01T10:00:00
Sensor_Edge_4_1,0.30,2023-01-01T10:00:00
Sensor_Edge_5_1,0.41,2023-01-01T10:00:00
Sensor_Edge_7_1,0.72,2023-01-01T10:00:00
Sensor_Edge_8_1,0.27,2023-01-01T10:00:00
Sensor_Edge_10_1,0.49,2023-01-01T10:00:00
Sensor_Edge_11_1,0.57,2023-01-01T10:00:00
Sensor_Edge_13_1,0.86,2023-01-01T10:00:00
