sensorID,value,time
Sensor_Edge_2_1,8.2,2023-01-01T08:00:00
Sensor_Edge_4_1,11.6,2023-01-01T08:00:00
Sensor_Edge_5_1,15.4,2023-01-01T08:00:00
Sensor_Edge_7_1,22.1,2023-01-01T08:00:00
Sensor_Edge_8_1,9.7,2023-01-01T08:00:00
Sensor_Edge_10_1,18.3,2023-01-01T08:00:00
Sensor_Edge_11_1,21.8,2023-01-01T08:00:00
Sensor_Edge_13_1,27.5,2023-01-01T08:00:00
Sensor_Edge_2_1,10.5,2023-01-01T09:00:00
Sensor_Edge_4_1,13.2,2023-01-01T09:00:00
Sensor_Edge_5_1,17.9,2023-01-01T09:00:00
Sensor_Edge_7_1,26.4,2023-01-01T09:00:00
Sensor_Edge_8_1,11.1,2023-01-01T09:00:00
Sensor_Edge_10_1,20.7,2023-01-01T09:00:00
Sensor_Edge_11_1,24.2,2023-01-01T09:00:00
Sensor_Edge_13_1,31.8,2023-01-01T09:00:00
Sensor_Edge_2_1,13.7,2023-01-01T10:00:00
Sensor_Edge_4_1,16.9,2023-01-01T10:00:00
Sensor_Edge_5_1,22.5,2023-01-01T10:00:00
Sensor_Edge_7_1,34.6,2023-01-01T10:00:00
Sensor_Edge_8_1,14.2,2023-01-01T10:00:00
Sensor_Edge_10_1,28.4,2023-01-01T10:00:00
Sensor_Edge_11_1,33.1,2023-01-01T10:00:00
Sensor_Edge_13_1,42.8,2023-01-01T10:00:00
