sensorID,roadwayID,x,y,z,ratio
Sensor_Edge_2_1,Edge_2,469.657,-136.627,-38.598,0.62320
Sensor_Edge_4_1,Edge_4,453.274,-232.328,-79.811,0.67030
Sensor_Edge_5_1,Edge_5,444.618,-282.892,-101.587,0.53320
Sensor_Edge_7_1,Edge_7,427.832,-380.945,-143.813,0.63020
Sensor_Edge_8_1,Edge_8,489.622,-138.532,-37.965,0.60970
Sensor_Edge_10_1,Edge_10,473.480,-232.825,-78.572,0.55150
Sensor_Edge_11_1,Edge_11,464.450,-285.570,-101.287,0.52040
Sensor_Edge_13_1,Edge_13,448.759,-377.231,-140.761,0.50260
Sensor_Edge_15_1,Edge_15,386.662,-52.579,-9.378,0.57150
Sensor_Edge_21_1,Edge_21,584.510,-86.449,-9.378,0.36670
Sensor_Edge_23_1,Edge_23,489.546,-82.366,-9.378,0.51020
Sensor_Edge_25_1,Edge_25,274.271,-92.679,-34.205,0.52950
Sensor_Edge_26_1,Edge_26,689.691,-155.120,-30.575,0.45210
Sensor_Edge_31_1,Edge_31,468.451,-213.236,-65.643,0.53950
Sensor_Edge_35_1,Edge_35,344.063,-291.835,-112.531,0.55990
Sensor_Edge_36_1,Edge_36,400.155,-301.437,-112.531,0.49130
Sensor_Edge_38_1,Edge_38,504.848,-319.360,-112.531,0.56900
Sensor_Edge_39_1,Edge_39,564.567,-329.583,-112.531,0.65270
Sensor_Edge_40_1,Edge_40,324.616,-310.919,-121.908,0.58060
Sensor_Edge_41_1,Edge_41,391.475,-322.365,-121.908,0.55290
Sensor_Edge_45_1,Edge_45,501.984,-341.283,-121.908,0.45800
Sensor_Edge_46_1,Edge_46,584.192,-355.356,-121.908,0.62250
Sensor_Edge_48_1,Edge_48,444.103,-343.549,-121.908,0.49380
Sensor_Edge_55_1,Edge_55,418.989,-432.601,-168.311,0.45890
Sensor_Edge_59_1,Edge_59,433.219,-428.494,-178.796,0.58380
Sensor_Edge_65_1,Edge_65,419.146,-170.207,-56.265,0.55150
Sensor_Edge_66_1,Edge_66,279.151,-146.242,-56.265,0.34620
Sensor_Edge_67_1,Edge_67,416.836,-192.225,-65.643,0.39810
Sensor_Edge_68_1,Edge_68,280.411,-168.871,-65.643,0.47270
Sensor_Edge_69_1,Edge_69,516.648,-186.899,-56.265,0.43500
Sensor_Edge_70_1,Edge_70,659.021,-211.272,-56.265,0.51890
Sensor_Edge_71_1,Edge_71,520.683,-210.003,-65.643,0.39800
Sensor_Edge_72_1,Edge_72,656.949,-233.330,-65.643,0.47690
Sensor_Edge_73_1,Edge_73,339.268,-156.533,-56.265,0.56450
Sensor_Edge_74_1,Edge_74,335.414,-178.287,-65.643,0.56610
Sensor_Edge_75_1,Edge_75,607.605,-202.470,-56.265,0.58850
Sensor_Edge_76_1,Edge_76,591.190,-222.073,-65.643,0.42760
