sensorID,value,time
Sensor_Edge_2_1,65.11,2023-01-01T08:00:00
Sensor_Edge_4_1,80.44,2023-01-01T08:00:00
Sensor_Edge_5_1,42.02,2023-01-01T08:00:00
Sensor_Edge_7_1,73.72,2023-01-01T08:00:00
Sensor_Edge_8_1,79.91,2023-01-01T08:00:00
Sensor_Edge_10_1,63.61,2023-01-01T08:00:00
Sensor_Edge_11_1,72.33,2023-01-01T08:00:00
Sensor_Edge_13_1,71.11,2023-01-01T08:00:00
Sensor_Edge_15_1,74.63,2023-01-01T08:00:00
Sensor_Edge_21_1,66.03,2023-01-01T08:00:00
Sensor_Edge_23_1,63.58,2023-01-01T08:00:00
Sensor_Edge_25_1,66.71,2023-01-01T08:00:00
Sensor_Edge_26_1,43.59,2023-01-01T08:00:00
Sensor_Edge_31_1,67.75,2023-01-01T08:00:00
Sensor_Edge_35_1,69.01,2023-01-01T08:00:00
Sensor_Edge_36_1,68.02,2023-01-01T08:00:00
Sensor_Edge_38_1,49.66,2023-01-01T08:00:00
Sensor_Edge_39_1,71.50,2023-01-01T08:00:00
Sensor_Edge_40_1,64.68,2023-01-01T08:00:00
Sensor_Edge_41_1,66.79,2023-01-01T08:00:00
Sensor_Edge_45_1,73.09,2023-01-01T08:00:00
Sensor_Edge_46_1,79.08,2023-01-01T08:00:00
Sensor_Edge_48_1,73.68,2023-01-01T08:00:00
Sensor_Edge_55_1,79.05,2023-01-01T08:00:00
Sensor_Edge_59_1,74.77,2023-01-01T08:00:00
Sensor_Edge_65_1,66.77,2023-01-01T08:00:00
Sensor_Edge_66_1,66.27,2023-01-01T08:00:00
Sensor_Edge_67_1,71.08,2023-01-01T08:00:00
Sensor_Edge_68_1,77.73,2023-01-01T08:00:00
Sensor_Edge_69_1,76.87,2023-01-01T08:00:00
Sensor_Edge_70_1,78.76,2023-01-01T08:00:00
Sensor_Edge_71_1,79.55,2023-01-01T08:00:00
Sensor_Edge_72_1,63.85,2023-01-01T08:00:00
Sensor_Edge_73_1,61.77,2023-01-01T08:00:00
Sensor_Edge_74_1,75.66,2023-01-01T08:00:00
Sensor_Edge_75_1,77.23,2023-01-01T08:00:00
Sensor_Edge_76_1,61.65,2023-01-01T08:00:00
Sensor_Edge_2_1,65.22,2023-01-01T08:05:00
Sensor_Edge_4_1,81.04,2023-01-01T08:05:00
Sensor_Edge_5_1,41.96,2023-01-01T08:05:00
Sensor_Edge_7_1,74.53,2023-01-01T08:05:00
Sensor_Edge_8_1,80.89,2023-01-01T08:05:00
Sensor_Edge_10_1,63.02,2023-01-01T08:05:00
Sensor_Edge_11_1,72.67,2023-01-01T08:05:00
Sensor_Edge_13_1,71.29,2023-01-01T08:05:00
Sensor_Edge_15_1,73.84,2023-01-01T08:05:00
