sensorID,value,time
Sensor_Edge_2_1,48.0,2023-01-01T08:00:00
Sensor_Edge_4_1,52.5,2023-01-01T08:00:00
Sensor_Edge_5_1,55.8,2023-01-01T08:00:00
Sensor_Edge_7_1,62.1,2023-01-01T08:00:00
Sensor_Edge_8_1,50.4,2023-01-01T08:00:00
Sensor_Edge_10_1,58.9,2023-01-01T08:00:00
Sensor_Edge_11_1,63.2,2023-01-01T08:00:00
Sensor_Edge_13_1,69.6,2023-01-01T08:00:00
Sensor_Edge_2_1,51.7,2023-01-01T09:00:00
Sensor_Edge_4_1,56.2,2023-01-01T09:00:00
Sensor_Edge_5_1,59.1,2023-01-01T09:00:00
Sensor_Edge_7_1,66.3,2023-01-01T09:00:00
Sensor_Edge_8_1,53.9,2023-01-01T09:00:00
Sensor_Edge_10_1,61.4,2023-01-01T09:00:00
Sensor_Edge_11_1,67.8,2023-01-01T09:00:00
Sensor_Edge_13_1,73.2,2023-01-01T09:00:00
Sensor_Edge_2_1,55.1,2023-01-01T10:00:00
Sensor_Edge_4_1,59.8,2023-01-01T10:00:00
Sensor_Edge_5_1,64.0,2023-01-01T10:00:00
Sensor_Edge_7_1,71.2,2023-01-01T10:00:00
Sensor_Edge_8_1,57.3,2023-01-01T10:00:00
Sensor_Edge_10_1,66.7,2023-01-01T10:00:00
Sensor_Edge_11_1,72.4,2023-01-01T10:00:00
Sensor_Edge_13_1,78.6,2023-01-01T10:00:00
