sensorID,value,time
Sensor_Edge_2_1,20.45,2023-01-01T08:00:00
Sensor_Edge_4_1,21.91,2023-01-01T08:00:00
Sensor_Edge_5_1,23.62,2023-01-01T08:00:00
Sensor_Edge_7_1,29.70,2023-01-01T08:00:00
Sensor_Edge_8_1,24.03,2023-01-01T08:00:00
Sensor_Edge_10_1,22.25,2023-01-01T08:00:00
Sensor_Edge_11_1,26.37,2023-01-01T08:00:00
Sensor_Edge_13_1,25.82,2023-01-01T08:00:00
Sensor_Edge_15_1,23.01,2023-01-01T08:00:00
Sensor_Edge_21_1,18.16,2023-01-01T08:00:00
Sensor_Edge_25_1,20.65,2023-01-01T08:00:00
Sensor_Edge_26_1,38.44,2023-01-01T08:00:00
Sensor_Edge_27_1,21.78,2023-01-01T08:00:00
Sensor_Edge_28_1,23.76,2023-01-01T08:00:00
Sensor_Edge_31_1,21.51,2023-01-01T08:00:00
Sensor_Edge_35_1,27.71,2023-01-01T08:00:00
Sensor_Edge_36_1,24.37,2023-01-01T08:00:00
Sensor_Edge_38_1,25.70,2023-01-01T08:00:00
Sensor_Edge_39_1,25.37,2023-01-01T08:00:00
Sensor_Edge_40_1,41.94,2023-01-01T08:00:00
Sensor_Edge_41_1,26.38,2023-01-01T08:00:00
Sensor_Edge_45_1,24.89,2023-01-01T08:00:00
Sensor_Edge_46_1,26.86,2023-01-01T08:00:00
Sensor_Edge_48_1,24.99,2023-01-01T08:00:00
Sensor_Edge_50_1,27.59,2023-01-01T08:00:00
Sensor_Edge_63_1,21.51,2023-01-01T08:00:00
Sensor_Edge_64_1,23.36,2023-01-01T08:00:00
Sensor_Edge_65_1,35.30,2023-01-01T08:00:00
Sensor_Edge_66_1,20.76,2023-01-01T08:00:00
Sensor_Edge_67_1,25.59,2023-01-01T08:00:00
Sensor_Edge_68_1,24.66,2023-01-01T08:00:00
Sensor_Edge_69_1,23.97,2023-01-01T08:00:00
Sensor_Edge_70_1,24.60,2023-01-01T08:00:00
Sensor_Edge_71_1,23.76,2023-01-01T08:00:00
Sensor_Edge_72_1,24.93,2023-01-01T08:00:00
Sensor_Edge_73_1,22.54,2023-01-01T08:00:00
Sensor_Edge_74_1,23.47,2023-01-01T08:00:00
Sensor_Edge_75_1,22.50,2023-01-01T08:00:00
Sensor_Edge_76_1,23.09,2023-01-01T08:00:00
Sensor_Edge_80_1,22.83,2023-01-01T08:00:00
Sensor_Edge_2_1,20.47,2023-01-01T08:05:00
Sensor_Edge_4_1,21.78,2023-01-01T08:05:00
Sensor_Edge_5_1,23.80,2023-01-01T08:05:00
Sensor_Edge_7_1,29.82,2023-01-01T08:05:00
Sensor_Edge_8_1,24.03,2023-01-01T08:05:00
Sensor_Edge_10_1,22.06,2023-01-01T08:05:00
Sensor_Edge_11_1,26.17,2023-01-01T08:05:00
Sensor_Edge_13_1,25.57,2023-01-01T08:05:00
Sensor_Edge_15_1,23.08,2023-01-01T08:05:00
Sensor_Edge_21_1,18.08,2023-01-01T08:05:00
Sensor_Edge_25_1,20.53,2023-01-01T08:05:00
Sensor_Edge_26_1,38.42,2023-01-01T08:05:00
Sensor_Edge_27_1,21.82,2023-01-01T08:05:00
Sensor_Edge_28_1,23.96,2023-01-01T08:05:00
Sensor_Edge_31_1,21.46,2023-01-01T08:05:00
Sensor_Edge_35_1,27.85,2023-01-01T08:05:00
Sensor_Edge_36_1,24.37,2023-01-01T08:05:00
Sensor_Edge_38_1,25.79,2023-01-01T08:05:00
Sensor_Edge_39_1,25.23,2023-01-01T08:05:00
Sensor_Edge_40_1,41.93,2023-01-01T08:05:00
Sensor_Edge_41_1,26.39,2023-01-01T08:05:00
Sensor_Edge_45_1,25.15,2023-01-01T08:05:00
Sensor_Edge_46_1,27.10,2023-01-01T08:05:00
Sensor_Edge_48_1,24.78,2023-01-01T08:05:00
Sensor_Edge_50_1,27.84,2023-01-01T08:05:00
Sensor_Edge_63_1,21.59,2023-01-01T08:05:00
Sensor_Edge_64_1,23.51,2023-01-01T08:05:00
Sensor_Edge_65_1,35.07,2023-01-01T08:05:00
Sensor_Edge_66_1,20.57,2023-01-01T08:05:00
Sensor_Edge_67_1,25.72,2023-01-01T08:05:00
Sensor_Edge_68_1,24.74,2023-01-01T08:05:00
Sensor_Edge_69_1,24.05,2023-01-01T08:05:00
Sensor_Edge_70_1,24.67,2023-01-01T08:05:00
Sensor_Edge_71_1,23.68,2023-01-01T08:05:00
Sensor_Edge_72_1,25.02,2023-01-01T08:05:00
Sensor_Edge_73_1,22.69,2023-01-01T08:05:00
Sensor_Edge_74_1,23.25,2023-01-01T08:05:00
Sensor_Edge_75_1,22.52,2023-01-01T08:05:00
Sensor_Edge_76_1,23.23,2023-01-01T08:05:00
Sensor_Edge_80_1,22.78,2023-01-01T08:05:00
Sensor_Edge_2_1,20.61,2023-01-01T08:10:00
Sensor_Edge_4_1,21.59,2023-01-01T08:10:00
Sensor_Edge_5_1,23.97,2023-01-01T08:10:00
Sensor_Edge_7_1,29.98,2023-01-01T08:10:00
Sensor_Edge_8_1,23.92,2023-01-01T08:10:00
Sensor_Edge_10_1,22.23,2023-01-01T08:10:00
Sensor_Edge_11_1,26.31,2023-01-01T08:10:00
Sensor_Edge_13_1,25.43,2023-01-01T08:10:00
Sensor_Edge_15_1,22.93,2023-01-01T08:10:00
Sensor_Edge_21_1,18.35,2023-01-01T08:10:00
Sensor_Edge_25_1,20.73,2023-01-01T08:10:00
Sensor_Edge_26_1,38.61,2023-01-01T08:10:00
