interval_id,borehole_id,depth_from,depth_to,lithology,grade,attribute_name,attribute_value,sample_id
ZK01_INT_001,ZK01,4,16,overburden,,lithology,overburden,ZK01_INT_001
ZK01_INT_002,ZK01,16,22,mud,,lithology,mud,ZK01_INT_002
ZK01_INT_003,ZK01,22,26,coal,,lithology,coal,ZK01_INT_003
ZK01_INT_004,ZK01,26,30,mud,,lithology,mud,ZK01_INT_004
ZK01_INT_005,ZK01,30,38,mud,,lithology,mud,ZK01_INT_005
ZK01_INT_006,ZK01,38,44,silt,,lithology,silt,ZK01_INT_006
ZK01_INT_007,ZK01,44,50,sand_f,,lithology,sand_f,ZK01_INT_007
ZK01_INT_008,ZK01,50,72,sand_c,,lithology,sand_c,ZK01_INT_008
ZK01_INT_009,ZK01,72,74,lime,,lithology,lime,ZK01_INT_009
ZK01_INT_010,ZK01,74,78,mud,,lithology,mud,ZK01_INT_010
ZK01_INT_011,ZK01,78,80,coal,,lithology,coal,ZK01_INT_011
ZK01_INT_012,ZK01,80,82,coal,,lithology,coal,ZK01_INT_012
ZK01_INT_013,ZK01,82,86,mud,,lithology,mud,ZK01_INT_013
ZK01_INT_014,ZK01,86,92,mud,,lithology,mud,ZK01_INT_014
ZK01_INT_015,ZK01,92,94,silt,,lithology,silt,ZK01_INT_015
ZK01_INT_016,ZK01,94,96,sand_f,,lithology,sand_f,ZK01_INT_016
ZK01_INT_017,ZK01,96,98,sand_c,,lithology,sand_c,ZK01_INT_017
ZK01_INT_018,ZK01,98,108,mud,,lithology,mud,ZK01_INT_018
ZK01_INT_019,ZK01,108,110,mud,,lithology,mud,ZK01_INT_019
ZK01_INT_020,ZK01,110,124,mud,,lithology,mud,ZK01_INT_020
ZK01_INT_021,ZK01,124,126,silt,,lithology,silt,ZK01_INT_021
ZK01_INT_022,ZK01,126,128,sand_f,,lithology,sand_f,ZK01_INT_022
ZK01_INT_023,ZK01,128,130,sand_c,,lithology,sand_c,ZK01_INT_023
ZK01_FAULT_001,ZK01,0,0,fault_zone,,faultIntersection,normal,ZK01_FAULT_001
ZK02_INT_001,ZK02,2,18,overburden,,lithology,overburden,ZK02_INT_001
ZK02_INT_002,ZK02,18,24,mud,,lithology,mud,ZK02_INT_002
ZK02_INT_003,ZK02,24,28,coal,,lithology,coal,ZK02_INT_003
ZK02_INT_004,ZK02,28,32,mud,,lithology,mud,ZK02_INT_004
ZK02_INT_005,ZK02,32,40,mud,,lithology,mud,ZK02_INT_005
ZK02_INT_006,ZK02,40,44,silt,,lithology,silt,ZK02_INT_006
ZK02_INT_007,ZK02,44,52,sand_f,,lithology,sand_f,ZK02_INT_007
ZK02_INT_008,ZK02,52,74,sand_c,,lithology,sand_c,ZK02_INT_008
ZK02_INT_009,ZK02,74,76,lime,,lithology,lime,ZK02_INT_009
ZK02_INT_010,ZK02,76,80,mud,,lithology,mud,ZK02_INT_010
ZK02_INT_011,ZK02,80,82,coal,,lithology,coal,ZK02_INT_011
ZK02_INT_012,ZK02,82,86,coal,,lithology,coal,ZK02_INT_012
ZK02_INT_013,ZK02,86,88,mud,,lithology,mud,ZK02_INT_013
ZK02_INT_014,ZK02,88,96,mud,,lithology,mud,ZK02_INT_014
ZK02_INT_015,ZK02,96,100,silt,,lithology,silt,ZK02_INT_015
ZK02_INT_016,ZK02,100,104,sand_f,,lithology,sand_f,ZK02_INT_016
ZK02_INT_017,ZK02,104,122,sand_c,,lithology,sand_c,ZK02_INT_017
ZK02_INT_018,ZK02,122,130,mud,,lithology,mud,ZK02_INT_018
ZK02_INT_019,ZK02,130,134,mud,,lithology,mud,ZK02_INT_019
ZK02_INT_020,ZK02,134,146,mud,,lithology,mud,ZK02_INT_020
ZK02_INT_021,ZK02,146,148,silt,,lithology,silt,ZK02_INT_021
ZK02_INT_022,ZK02,148,150,sand_f,,lithology,sand_f,ZK02_INT_022
ZK02_INT_023,ZK02,150,152,sand_c,,lithology,sand_c,ZK02_INT_023
ZK03_INT_001,ZK03,4,18,overburden,,lithology,overburden,ZK03_INT_001
ZK03_INT_002,ZK03,18,24,mud,,lithology,mud,ZK03_INT_002
ZK03_INT_003,ZK03,24,28,coal,,lithology,coal,ZK03_INT_003
ZK03_INT_004,ZK03,28,32,mud,,lithology,mud,ZK03_INT_004
ZK03_INT_005,ZK03,32,40,mud,,lithology,mud,ZK03_INT_005
ZK03_INT_006,ZK03,40,46,silt,,lithology,silt,ZK03_INT_006
ZK03_INT_007,ZK03,46,52,sand_f,,lithology,sand_f,ZK03_INT_007
ZK03_INT_008,ZK03,52,74,sand_c,,lithology,sand_c,ZK03_INT_008
ZK03_INT_009,ZK03,74,80,mud,,lithology,mud,ZK03_INT_009
ZK03_INT_010,ZK03,80,82,coal,,lithology,coal,ZK03_INT_010
ZK03_INT_011,ZK03,82,84,coal,,lithology,coal,ZK03_INT_011
ZK03_INT_012,ZK03,84,88,mud,,lithology,mud,ZK03_INT_012
ZK03_INT_013,ZK03,88,94,mud,,lithology,mud,ZK03_INT_013
ZK03_INT_014,ZK03,94,96,silt,,lithology,silt,ZK03_INT_014
ZK03_INT_015,ZK03,96,98,sand_f,,lithology,sand_f,ZK03_INT_015
ZK03_INT_016,ZK03,98,100,sand_c,,lithology,sand_c,ZK03_INT_016
ZK03_INT_017,ZK03,100,110,mud,,lithology,mud,ZK03_INT_017
ZK03_INT_018,ZK03,110,112,mud,,lithology,mud,ZK03_INT_018
ZK03_INT_019,ZK03,112,124,mud,,lithology,mud,ZK03_INT_019
ZK03_INT_020,ZK03,124,128,silt,,lithology,silt,ZK03_INT_020
ZK03_INT_021,ZK03,128,130,sand_f,,lithology,sand_f,ZK03_INT_021
ZK03_INT_022,ZK03,130,134,sand_c,,lithology,sand_c,ZK03_INT_022
ZK04_INT_001,ZK04,4,18,overburden,,lithology,overburden,ZK04_INT_001
ZK04_INT_002,ZK04,18,24,mud,,lithology,mud,ZK04_INT_002
ZK04_INT_003,ZK04,24,28,coal,,lithology,coal,ZK04_INT_003
ZK04_INT_004,ZK04,28,32,mud,,lithology,mud,ZK04_INT_004
ZK04_INT_005,ZK04,32,40,mud,,lithology,mud,ZK04_INT_005
ZK04_INT_006,ZK04,40,44,silt,,lithology,silt,ZK04_INT_006
ZK04_INT_007,ZK04,44,46,sand_f,,lithology,sand_f,ZK04_INT_007
ZK04_INT_008,ZK04,46,54,sand_c,,lithology,sand_c,ZK04_INT_008
ZK04_INT_009,ZK04,54,56,lime,,lithology,lime,ZK04_INT_009
ZK04_INT_010,ZK04,56,62,mud,,lithology,mud,ZK04_INT_010
ZK04_INT_011,ZK04,62,64,coal,,lithology,coal,ZK04_INT_011
ZK04_INT_012,ZK04,64,66,coal,,lithology,coal,ZK04_INT_012
ZK04_INT_013,ZK04,66,68,mud,,lithology,mud,ZK04_INT_013
ZK04_INT_014,ZK04,68,76,mud,,lithology,mud,ZK04_INT_014
ZK04_INT_015,ZK04,76,78,silt,,lithology,silt,ZK04_INT_015
ZK04_INT_016,ZK04,78,80,sand_f,,lithology,sand_f,ZK04_INT_016
ZK04_INT_017,ZK04,80,82,sand_c,,lithology,sand_c,ZK04_INT_017
ZK04_INT_018,ZK04,82,90,mud,,lithology,mud,ZK04_INT_018
ZK04_INT_019,ZK04,90,92,coal,,lithology,coal,ZK04_INT_019
ZK04_INT_020,ZK04,92,94,mud,,lithology,mud,ZK04_INT_020
ZK04_INT_021,ZK04,94,106,mud,,lithology,mud,ZK04_INT_021
ZK04_INT_022,ZK04,106,110,silt,,lithology,silt,ZK04_INT_022
ZK04_INT_023,ZK04,110,112,sand_f,,lithology,sand_f,ZK04_INT_023
ZK04_INT_024,ZK04,112,114,sand_c,,lithology,sand_c,ZK04_INT_024
ZK05_INT_001,ZK05,2,18,overburden,,lithology,overburden,ZK05_INT_001
ZK05_INT_002,ZK05,18,22,mud,,lithology,mud,ZK05_INT_002
ZK05_INT_003,ZK05,22,28,coal,,lithology,coal,ZK05_INT_003
ZK05_INT_004,ZK05,28,30,mud,,lithology,mud,ZK05_INT_004
ZK05_INT_005,ZK05,30,40,mud,,lithology,mud,ZK05_INT_005
ZK05_INT_006,ZK05,40,44,silt,,lithology,silt,ZK05_INT_006
ZK05_INT_007,ZK05,44,52,sand_f,,lithology,sand_f,ZK05_INT_007
ZK05_INT_008,ZK05,52,72,sand_c,,lithology,sand_c,ZK05_INT_008
ZK05_INT_009,ZK05,72,74,lime,,lithology,lime,ZK05_INT_009
ZK05_INT_010,ZK05,74,78,mud,,lithology,mud,ZK05_INT_010
ZK05_INT_011,ZK05,78,80,coal,,lithology,coal,ZK05_INT_011
ZK05_INT_012,ZK05,80,82,coal,,lithology,coal,ZK05_INT_012
ZK05_INT_013,ZK05,82,86,mud,,lithology,mud,ZK05_INT_013
ZK05_INT_014,ZK05,86,92,mud,,lithology,mud,ZK05_INT_014
ZK05_INT_015,ZK05,92,94,silt,,lithology,silt,ZK05_INT_015
ZK05_INT_016,ZK05,94,96,sand_f,,lithology,sand_f,ZK05_INT_016
ZK05_INT_017,ZK05,96,98,sand_c,,lithology,sand_c,ZK05_INT_017
ZK05_INT_018,ZK05,98,106,mud,,lithology,mud,ZK05_INT_018
ZK05_INT_019,ZK05,106,112,coal,,lithology,coal,ZK05_INT_019
ZK05_INT_020,ZK05,112,116,mud,,lithology,mud,ZK05_INT_020
ZK05_INT_021,ZK05,116,124,mud,,lithology,mud,ZK05_INT_021
ZK05_INT_022,ZK05,124,128,silt,,lithology,silt,ZK05_INT_022
ZK05_INT_023,ZK05,128,130,sand_f,,lithology,sand_f,ZK05_INT_023
ZK05_INT_024,ZK05,130,134,sand_c,,lithology,sand_c,ZK05_INT_024
ZK06_INT_001,ZK06,2,18,overburden,,lithology,overburden,ZK06_INT_001
ZK06_INT_002,ZK06,18,24,mud,,lithology,mud,ZK06_INT_002
ZK06_INT_003,ZK06,24,28,coal,,lithology,coal,ZK06_INT_003
ZK06_INT_004,ZK06,28,32,mud,,lithology,mud,ZK06_INT_004
ZK06_INT_005,ZK06,32,40,mud,,lithology,mud,ZK06_INT_005
