borehole_id,borehole_name,collar_x,collar_y,collar_z,total_depth,status
ZK01,ZK01,-49.522,-16.442,-33.857,152,planned
ZK02,ZK02,113.679,-14.482,50.415,172,planned
ZK03,ZK03,-51.074,-19.877,-63.166,154,planned
ZK04,ZK04,46.992,-12.689,-16.359,134,planned
ZK05,ZK05,-150.735,-3.941,52.572,154,planned
ZK06,ZK06,46.732,-11.691,33.617,170,planned
ZK07,ZK07,118.71,-8.557,-66.899,192,planned
ZK08,ZK08,-82.379,-17.459,-26.65,174,planned
ZK09,ZK09,153.876,-11.173,-36.423,180,planned
ZK10,ZK10,81.007,-14.082,17.896,146,planned
ZK11,ZK11,95.473,-7.689,-93.906,206,planned
ZK12,ZK12,140.172,-5.27,-101.866,188,planned
ZK13,ZK13,-48.79,-15.653,-29.586,150,planned
ZK14,ZK14,48.031,-15.68,-157.655,178,planned
ZK15,ZK15,-130.599,-0.289,80.52,150,planned
ZK16,ZK16,133.506,-16.327,90.933,172,planned
ZK17,ZK17,-71.011,-11.211,9.918,174,planned
ZK18,ZK18,-35.455,-11.428,-0.937,154,planned
ZK19,ZK19,-24.745,-12.722,-16.031,150,planned
ZK20,ZK20,-136.23,-0.658,140.228,166,planned
ZK21,ZK21,-56.323,-24.993,-123.615,184,planned
ZK22,ZK22,-64.408,-23.192,-149.649,178,planned
ZK23,ZK23,-126.223,-23.187,-59.259,172,planned
ZK24,ZK24,-89.88,-24.371,-102.618,186,planned
ZK25,ZK25,122.391,-8.139,-68.924,194,planned
ZK26,ZK26,15.462,-12.184,42.109,184,planned
ZK27,ZK27,74.047,-10.364,-83.403,200,planned
ZK28,ZK28,44.393,-12.764,78.779,198,planned
ZK29,ZK29,-105.965,-6.167,43.544,144,planned
ZK30,ZK30,-28.054,-12.103,-26.325,152,planned
ZK31,ZK31,78.602,-12.867,43.998,168,planned
ZK32,ZK32,-76.408,-25.069,-119.234,198,planned
ZK33,ZK33,-22.992,-17.662,-59.678,154,planned
ZK34,ZK34,-27.892,-10.632,12.952,158,planned
ZK35,ZK35,-42.477,-21.842,-153.108,162,planned
ZK36,ZK36,-85.466,-1.948,98.436,130,planned
ZK37,ZK37,141.451,-17.459,109.173,174,planned
ZK38,ZK38,-15.457,-21.504,-88.229,196,planned
ZK39,ZK39,49.526,-14.493,-131.259,182,planned
ZK40,ZK40,124.901,-7.058,-77.288,200,planned
ZK41,ZK41,50.692,-12.975,-26.105,148,planned
ZK42,ZK42,-129.018,-7.381,35.779,146,planned
ZK43,ZK43,-78.16,-19.808,-42.577,170,planned
ZK44,ZK44,152.79,-12.095,-29.393,184,planned
ZK45,ZK45,99.38,-14.882,20.354,152,planned
ZK46,ZK46,130.637,-11.195,-44.607,182,planned
ZK47,ZK47,-18.184,-10.577,40.313,180,planned
ZK48,ZK48,43.558,-11.234,152.771,126,planned
ZK49,ZK49,-78.981,-24.565,-134.568,194,planned
ZK50,ZK50,6.801,-11.894,-27.836,152,planned
