element_id,unit_id,seam_id,lithology,unit_type,layer_order,x,y,z,elevation,thickness,confidence,fault_influence,uncertainty,risk_value,ash,sulfur,calorific_value,gas_content,water_content,coal_quality_index,porosity,permeability,water_bearing_index,grain_size_index,strength_index,roof_stability_index,clay_content,softening_index,floor_heave_risk,carbonate_purity,karst_water_risk,fracture_index,weathering_index,loose_layer_water_risk
GU_0_CELL_0_0,GU_0,GU_0,overburden,overburden,0,-200,-23.141,-200,-23.141,13.346,0.42,1,0.841,0.902,,,,,,,,,,,0.18,,,,,,,,1,0.811
GU_0_CELL_0_1,GU_0,GU_0,overburden,overburden,0,-192,-23.917,-200,-23.917,13.193,0.426,0.99,0.841,0.904,,,,,,,,,,,0.178,,,,,,,,1,0.819
GU_0_CELL_0_2,GU_0,GU_0,overburden,overburden,0,-184,-24.606,-200,-24.606,13.047,0.583,0.719,0.657,0.833,,,,,,,,,,,0.176,,,,,,,,1,0.776
GU_0_CELL_0_3,GU_0,GU_0,overburden,overburden,0,-176,-25.197,-200,-25.197,12.916,0.828,0.296,0.366,0.714,,,,,,,,,,,0.179,,,,,,,,0.983,0.703
GU_0_CELL_0_4,GU_0,GU_0,overburden,overburden,0,-168,-25.685,-200,-25.685,12.805,0.992,0.014,0.169,0.621,,,,,,,,,,,0.189,,,,,,,,0.931,0.652
GU_0_CELL_0_5,GU_0,GU_0,overburden,overburden,0,-160,-26.066,-200,-26.066,12.721,1,0,0.157,0.612,,,,,,,,,,,0.19,,,,,,,,0.921,0.646
GU_0_CELL_0_6,GU_0,GU_0,overburden,overburden,0,-152,-26.34,-200,-26.34,12.671,1,0,0.152,0.604,,,,,,,,,,,0.193,,,,,,,,0.905,0.639
GU_0_CELL_0_7,GU_0,GU_0,overburden,overburden,0,-144,-26.51,-200,-26.51,12.658,1,0,0.145,0.592,,,,,,,,,,,0.198,,,,,,,,0.883,0.629
GU_0_CELL_0_8,GU_0,GU_0,overburden,overburden,0,-136,-26.581,-200,-26.581,12.687,1,0,0.137,0.577,,,,,,,,,,,0.204,,,,,,,,0.856,0.616
GU_0_CELL_0_9,GU_0,GU_0,overburden,overburden,0,-128,-26.56,-200,-26.56,12.759,1,0,0.128,0.559,,,,,,,,,,,0.212,,,,,,,,0.824,0.6
GU_0_CELL_0_10,GU_0,GU_0,overburden,overburden,0,-120,-26.458,-200,-26.458,12.873,1,0,0.118,0.54,,,,,,,,,,,0.22,,,,,,,,0.79,0.582
GU_0_CELL_0_11,GU_0,GU_0,overburden,overburden,0,-112,-26.286,-200,-26.286,13.028,1,0,0.108,0.519,,,,,,,,,,,0.23,,,,,,,,0.755,0.562
GU_0_CELL_0_12,GU_0,GU_0,overburden,overburden,0,-104,-26.055,-200,-26.055,13.219,1,0,0.099,0.497,,,,,,,,,,,0.24,,,,,,,,0.721,0.54
GU_0_CELL_0_13,GU_0,GU_0,overburden,overburden,0,-96,-25.781,-200,-25.781,13.441,1,0,0.091,0.475,,,,,,,,,,,0.249,,,,,,,,0.688,0.517
GU_0_CELL_0_14,GU_0,GU_0,overburden,overburden,0,-88,-25.476,-200,-25.476,13.685,1,0,0.085,0.455,,,,,,,,,,,0.258,,,,,,,,0.659,0.494
GU_0_CELL_0_15,GU_0,GU_0,overburden,overburden,0,-80,-25.155,-200,-25.155,13.943,1,0,0.081,0.435,,,,,,,,,,,0.267,,,,,,,,0.635,0.47
GU_0_CELL_0_16,GU_0,GU_0,overburden,overburden,0,-72,-24.832,-200,-24.832,14.205,1,0,0.08,0.416,,,,,,,,,,,0.274,,,,,,,,0.616,0.445
GU_0_CELL_0_17,GU_0,GU_0,overburden,overburden,0,-64,-24.519,-200,-24.519,14.462,1,0,0.081,0.4,,,,,,,,,,,0.277,,,,,,,,0.602,0.422
GU_0_CELL_0_18,GU_0,GU_0,overburden,overburden,0,-56,-24.227,-200,-24.227,14.704,1,0,0.084,0.386,,,,,,,,,,,0.279,,,,,,,,0.595,0.399
GU_0_CELL_0_19,GU_0,GU_0,overburden,overburden,0,-48,-23.968,-200,-23.968,14.922,1,0,0.09,0.375,,,,,,,,,,,0.279,,,,,,,,0.594,0.378
GU_0_CELL_0_20,GU_0,GU_0,overburden,overburden,0,-40,-23.751,-200,-23.751,15.11,1,0,0.097,0.366,,,,,,,,,,,0.278,,,,,,,,0.598,0.359
GU_0_CELL_0_21,GU_0,GU_0,overburden,overburden,0,-32,-23.582,-200,-23.582,15.262,1,0,0.106,0.36,,,,,,,,,,,0.277,,,,,,,,0.606,0.342
GU_0_CELL_0_22,GU_0,GU_0,overburden,overburden,0,-24,-23.468,-200,-23.468,15.372,1,0,0.116,0.356,,,,,,,,,,,0.274,,,,,,,,0.618,0.328
GU_0_CELL_0_23,GU_0,GU_0,overburden,overburden,0,-16,-23.41,-200,-23.41,15.441,1,0,0.126,0.354,,,,,,,,,,,0.271,,,,,,,,0.633,0.316
GU_0_CELL_0_24,GU_0,GU_0,overburden,overburden,0,-8,-23.411,-200,-23.411,15.468,1,0,0.135,0.355,,,,,,,,,,,0.267,,,,,,,,0.649,0.308
GU_0_CELL_0_25,GU_0,GU_0,overburden,overburden,0,0,-23.469,-200,-23.469,15.456,1,0,0.144,0.356,,,,,,,,,,,0.264,,,,,,,,0.665,0.302
GU_0_CELL_0_26,GU_0,GU_0,overburden,overburden,0,8,-23.581,-200,-23.581,15.409,1,0,0.151,0.36,,,,,,,,,,,0.261,,,,,,,,0.68,0.3
GU_0_CELL_0_27,GU_0,GU_0,overburden,overburden,0,16,-23.743,-200,-23.743,15.333,1,0,0.156,0.364,,,,,,,,,,,0.258,,,,,,,,0.692,0.301
GU_0_CELL_0_28,GU_0,GU_0,overburden,overburden,0,24,-23.947,-200,-23.947,15.236,1,0,0.159,0.37,,,,,,,,,,,0.256,,,,,,,,0.702,0.306
GU_0_CELL_0_29,GU_0,GU_0,overburden,overburden,0,32,-24.185,-200,-24.185,15.125,1,0,0.16,0.376,,,,,,,,,,,0.254,,,,,,,,0.709,0.314
GU_0_CELL_0_30,GU_0,GU_0,overburden,overburden,0,40,-24.448,-200,-24.448,15.008,1,0,0.158,0.382,,,,,,,,,,,0.253,,,,,,,,0.712,0.324
GU_0_CELL_0_31,GU_0,GU_0,overburden,overburden,0,48,-24.723,-200,-24.723,14.894,1,0,0.154,0.389,,,,,,,,,,,0.253,,,,,,,,0.712,0.338
GU_0_CELL_0_32,GU_0,GU_0,overburden,overburden,0,56,-25,-200,-25,14.789,1,0,0.148,0.397,,,,,,,,,,,0.254,,,,,,,,0.708,0.354
GU_0_CELL_0_33,GU_0,GU_0,overburden,overburden,0,64,-25.266,-200,-25.266,14.699,1,0,0.14,0.405,,,,,,,,,,,0.255,,,,,,,,0.703,0.373
