relation_id,relation_type,structure_id,target_type,target_id
R_F1_0_0,cuts,F1,body,GB_0
R_F1_1_0,cuts,F1,body,GB_1
R_F1_2_0,cuts,F1,body,GB_2
R_F1_3_0,cuts,F1,body,GB_3
R_F1_4_0,cuts,F1,body,GB_4
R_F1_5_0,cuts,F1,body,GB_5
R_F1_6_0,cuts,F1,body,GB_6
R_F1_7_0,cuts,F1,body,GB_7
R_F1_8_0,cuts,F1,body,GB_8
R_F1_9_0,cuts,F1,body,GB_9
R_F1_10_0,cuts,F1,body,GB_10
R_F1_11_0,cuts,F1,body,GB_11
R_F1_12_0,cuts,F1,body,GB_12
R_F1_13_0,cuts,F1,body,GB_13
R_F1_14_0,cuts,F1,body,GB_14
R_F1_15_0,cuts,F1,body,GB_15
R_F1_16_0,cuts,F1,body,GB_16
R_F1_17_0,cuts,F1,body,GB_17
R_F1_18_0,cuts,F1,body,GB_18
R_F1_19_0,cuts,F1,body,GB_19
R_F1_20_0,cuts,F1,body,GB_20
R_F1_21_0,cuts,F1,body,GB_21
R_F1_22_0,cuts,F1,body,GB_22
R_F1_23_0,cuts,F1,body,GB_23
R_F1_24_0,cuts,F1,body,GB_24
