relation_id,relation_type,source_type,source_id,target_type,target_id,description
R_1_ROOF,roof_of,surface,SURF_0_roof,body,GB_0,Roof surface defines layered body top boundary.
R_1_FLOOR,floor_of,surface,SURF_0_floor,body,GB_0,Floor surface defines layered body bottom boundary.
R_2_ROOF,roof_of,surface,SURF_1_roof,body,GB_1,Roof surface defines layered body top boundary.
R_2_FLOOR,floor_of,surface,SURF_1_floor,body,GB_1,Floor surface defines layered body bottom boundary.
R_3_ROOF,roof_of,surface,SURF_2_roof,body,GB_2,Roof surface defines layered body top boundary.
R_3_FLOOR,floor_of,surface,SURF_2_floor,body,GB_2,Floor surface defines layered body bottom boundary.
R_4_ROOF,roof_of,surface,SURF_3_roof,body,GB_3,Roof surface defines layered body top boundary.
R_4_FLOOR,floor_of,surface,SURF_3_floor,body,GB_3,Floor surface defines layered body bottom boundary.
R_5_ROOF,roof_of,surface,SURF_4_roof,body,GB_4,Roof surface defines layered body top boundary.
R_5_FLOOR,floor_of,surface,SURF_4_floor,body,GB_4,Floor surface defines layered body bottom boundary.
R_6_ROOF,roof_of,surface,SURF_5_roof,body,GB_5,Roof surface defines layered body top boundary.
R_6_FLOOR,floor_of,surface,SURF_5_floor,body,GB_5,Floor surface defines layered body bottom boundary.
R_7_ROOF,roof_of,surface,SURF_6_roof,body,GB_6,Roof surface defines layered body top boundary.
R_7_FLOOR,floor_of,surface,SURF_6_floor,body,GB_6,Floor surface defines layered body bottom boundary.
R_8_ROOF,roof_of,surface,SURF_7_roof,body,GB_7,Roof surface defines layered body top boundary.
R_8_FLOOR,floor_of,surface,SURF_7_floor,body,GB_7,Floor surface defines layered body bottom boundary.
R_9_ROOF,roof_of,surface,SURF_8_roof,body,GB_8,Roof surface defines layered body top boundary.
R_9_FLOOR,floor_of,surface,SURF_8_floor,body,GB_8,Floor surface defines layered body bottom boundary.
R_10_ROOF,roof_of,surface,SURF_9_roof,body,GB_9,Roof surface defines layered body top boundary.
R_10_FLOOR,floor_of,surface,SURF_9_floor,body,GB_9,Floor surface defines layered body bottom boundary.
R_11_ROOF,roof_of,surface,SURF_10_roof,body,GB_10,Roof surface defines layered body top boundary.
R_11_FLOOR,floor_of,surface,SURF_10_floor,body,GB_10,Floor surface defines layered body bottom boundary.
R_12_ROOF,roof_of,surface,SURF_11_roof,body,GB_11,Roof surface defines layered body top boundary.
