surface_id,mesh_part_id,body_id,unit_id,surface_type,layer_order,attribute_name,confidence
SURF_0_roof,SURF_0_roof,GB_0,GU_0,roof,0,horizonElevation,1
SURF_0_floor,SURF_0_floor,GB_0,GU_0,floor,0,horizonElevation,1
SURF_0_side,SURF_0_side,GB_0,GU_0,side,0,closure,1
SURF_0_fault_cut,SURF_0_fault_cut,GB_0,GU_0,fault_cut,0,faultClosure,1
SURF_1_roof,SURF_1_roof,GB_1,GU_1,roof,1,horizonElevation,1
SURF_1_floor,SURF_1_floor,GB_1,GU_1,floor,1,horizonElevation,1
SURF_1_side,SURF_1_side,GB_1,GU_1,side,1,closure,1
SURF_1_fault_cut,SURF_1_fault_cut,GB_1,GU_1,fault_cut,1,faultClosure,1
SURF_2_roof,SURF_2_roof,GB_2,GU_2,roof,2,horizonElevation,1
SURF_2_floor,SURF_2_floor,GB_2,GU_2,floor,2,horizonElevation,1
SURF_2_side,SURF_2_side,GB_2,GU_2,side,2,closure,1
SURF_2_fault_cut,SURF_2_fault_cut,GB_2,GU_2,fault_cut,2,faultClosure,1
SURF_3_roof,SURF_3_roof,GB_3,GU_3,roof,3,horizonElevation,1
SURF_3_floor,SURF_3_floor,GB_3,GU_3,floor,3,horizonElevation,1
SURF_3_side,SURF_3_side,GB_3,GU_3,side,3,closure,1
SURF_3_fault_cut,SURF_3_fault_cut,GB_3,GU_3,fault_cut,3,faultClosure,1
SURF_4_roof,SURF_4_roof,GB_4,GU_4,roof,4,horizonElevation,1
SURF_4_floor,SURF_4_floor,GB_4,GU_4,floor,4,horizonElevation,1
SURF_4_side,SURF_4_side,GB_4,GU_4,side,4,closure,1
SURF_4_fault_cut,SURF_4_fault_cut,GB_4,GU_4,fault_cut,4,faultClosure,1
SURF_5_roof,SURF_5_roof,GB_5,GU_5,roof,5,horizonElevation,1
SURF_5_floor,SURF_5_floor,GB_5,GU_5,floor,5,horizonElevation,1
SURF_5_side,SURF_5_side,GB_5,GU_5,side,5,closure,1
SURF_5_fault_cut,SURF_5_fault_cut,GB_5,GU_5,fault_cut,5,faultClosure,1
SURF_6_roof,SURF_6_roof,GB_6,GU_6,roof,6,horizonElevation,1
SURF_6_floor,SURF_6_floor,GB_6,GU_6,floor,6,horizonElevation,1
SURF_6_side,SURF_6_side,GB_6,GU_6,side,6,closure,1
SURF_6_fault_cut,SURF_6_fault_cut,GB_6,GU_6,fault_cut,6,faultClosure,1
SURF_7_roof,SURF_7_roof,GB_7,GU_7,roof,7,horizonElevation,1
SURF_7_floor,SURF_7_floor,GB_7,GU_7,floor,7,horizonElevation,1
SURF_7_side,SURF_7_side,GB_7,GU_7,side,7,closure,1
SURF_7_fault_cut,SURF_7_fault_cut,GB_7,GU_7,fault_cut,7,faultClosure,1
SURF_8_roof,SURF_8_roof,GB_8,GU_8,roof,8,horizonElevation,1
SURF_8_floor,SURF_8_floor,GB_8,GU_8,floor,8,horizonElevation,1
SURF_8_side,SURF_8_side,GB_8,GU_8,side,8,closure,1
SURF_8_fault_cut,SURF_8_fault_cut,GB_8,GU_8,fault_cut,8,faultClosure,1
SURF_9_roof,SURF_9_roof,GB_9,GU_9,roof,9,horizonElevation,1
SURF_9_floor,SURF_9_floor,GB_9,GU_9,floor,9,horizonElevation,1
SURF_9_side,SURF_9_side,GB_9,GU_9,side,9,closure,1
SURF_9_fault_cut,SURF_9_fault_cut,GB_9,GU_9,fault_cut,9,faultClosure,1
SURF_10_roof,SURF_10_roof,GB_10,GU_10,roof,10,horizonElevation,1
SURF_10_floor,SURF_10_floor,GB_10,GU_10,floor,10,horizonElevation,1
SURF_10_side,SURF_10_side,GB_10,GU_10,side,10,closure,1
SURF_10_fault_cut,SURF_10_fault_cut,GB_10,GU_10,fault_cut,10,faultClosure,1
SURF_11_roof,SURF_11_roof,GB_11,GU_11,roof,11,horizonElevation,1
SURF_11_floor,SURF_11_floor,GB_11,GU_11,floor,11,horizonElevation,1
SURF_11_side,SURF_11_side,GB_11,GU_11,side,11,closure,1
SURF_11_fault_cut,SURF_11_fault_cut,GB_11,GU_11,fault_cut,11,faultClosure,1
SURF_12_roof,SURF_12_roof,GB_12,GU_12,roof,12,horizonElevation,1
SURF_12_floor,SURF_12_floor,GB_12,GU_12,floor,12,horizonElevation,1
SURF_12_side,SURF_12_side,GB_12,GU_12,side,12,closure,1
SURF_12_fault_cut,SURF_12_fault_cut,GB_12,GU_12,fault_cut,12,faultClosure,1
SURF_13_roof,SURF_13_roof,GB_13,GU_13,roof,13,horizonElevation,1
SURF_13_floor,SURF_13_floor,GB_13,GU_13,floor,13,horizonElevation,1
SURF_13_side,SURF_13_side,GB_13,GU_13,side,13,closure,1
SURF_13_fault_cut,SURF_13_fault_cut,GB_13,GU_13,fault_cut,13,faultClosure,1
SURF_14_roof,SURF_14_roof,GB_14,GU_14,roof,14,horizonElevation,1
SURF_14_floor,SURF_14_floor,GB_14,GU_14,floor,14,horizonElevation,1
SURF_14_side,SURF_14_side,GB_14,GU_14,side,14,closure,1
SURF_14_fault_cut,SURF_14_fault_cut,GB_14,GU_14,fault_cut,14,faultClosure,1
SURF_15_roof,SURF_15_roof,GB_15,GU_15,roof,15,horizonElevation,1
SURF_15_floor,SURF_15_floor,GB_15,GU_15,floor,15,horizonElevation,1
SURF_15_side,SURF_15_side,GB_15,GU_15,side,15,closure,1
SURF_15_fault_cut,SURF_15_fault_cut,GB_15,GU_15,fault_cut,15,faultClosure,1
SURF_16_roof,SURF_16_roof,GB_16,GU_16,roof,16,horizonElevation,1
SURF_16_floor,SURF_16_floor,GB_16,GU_16,floor,16,horizonElevation,1
SURF_16_side,SURF_16_side,GB_16,GU_16,side,16,closure,1
SURF_16_fault_cut,SURF_16_fault_cut,GB_16,GU_16,fault_cut,16,faultClosure,1
SURF_17_roof,SURF_17_roof,GB_17,GU_17,roof,17,horizonElevation,1
SURF_17_floor,SURF_17_floor,GB_17,GU_17,floor,17,horizonElevation,1
SURF_17_side,SURF_17_side,GB_17,GU_17,side,17,closure,1
SURF_17_fault_cut,SURF_17_fault_cut,GB_17,GU_17,fault_cut,17,faultClosure,1
SURF_18_roof,SURF_18_roof,GB_18,GU_18,roof,18,horizonElevation,1
SURF_18_floor,SURF_18_floor,GB_18,GU_18,floor,18,horizonElevation,1
SURF_18_side,SURF_18_side,GB_18,GU_18,side,18,closure,1
SURF_18_fault_cut,SURF_18_fault_cut,GB_18,GU_18,fault_cut,18,faultClosure,1
SURF_19_roof,SURF_19_roof,GB_19,GU_19,roof,19,horizonElevation,1
SURF_19_floor,SURF_19_floor,GB_19,GU_19,floor,19,horizonElevation,1
SURF_19_side,SURF_19_side,GB_19,GU_19,side,19,closure,1
SURF_19_fault_cut,SURF_19_fault_cut,GB_19,GU_19,fault_cut,19,faultClosure,1
SURF_20_roof,SURF_20_roof,GB_20,GU_20,roof,20,horizonElevation,1
SURF_20_floor,SURF_20_floor,GB_20,GU_20,floor,20,horizonElevation,1
SURF_20_side,SURF_20_side,GB_20,GU_20,side,20,closure,1
SURF_20_fault_cut,SURF_20_fault_cut,GB_20,GU_20,fault_cut,20,faultClosure,1
SURF_21_roof,SURF_21_roof,GB_21,GU_21,roof,21,horizonElevation,1
SURF_21_floor,SURF_21_floor,GB_21,GU_21,floor,21,horizonElevation,1
SURF_21_side,SURF_21_side,GB_21,GU_21,side,21,closure,1
SURF_21_fault_cut,SURF_21_fault_cut,GB_21,GU_21,fault_cut,21,faultClosure,1
SURF_22_roof,SURF_22_roof,GB_22,GU_22,roof,22,horizonElevation,1
SURF_22_floor,SURF_22_floor,GB_22,GU_22,floor,22,horizonElevation,1
SURF_22_side,SURF_22_side,GB_22,GU_22,side,22,closure,1
SURF_22_fault_cut,SURF_22_fault_cut,GB_22,GU_22,fault_cut,22,faultClosure,1
SURF_23_roof,SURF_23_roof,GB_23,GU_23,roof,23,horizonElevation,1
SURF_23_floor,SURF_23_floor,GB_23,GU_23,floor,23,horizonElevation,1
SURF_23_side,SURF_23_side,GB_23,GU_23,side,23,closure,1
SURF_23_fault_cut,SURF_23_fault_cut,GB_23,GU_23,fault_cut,23,faultClosure,1
SURF_24_roof,SURF_24_roof,GB_24,GU_24,roof,24,horizonElevation,1
SURF_24_floor,SURF_24_floor,GB_24,GU_24,floor,24,horizonElevation,1
SURF_24_side,SURF_24_side,GB_24,GU_24,side,24,closure,1
SURF_24_fault_cut,SURF_24_fault_cut,GB_24,GU_24,fault_cut,24,faultClosure,1
